ke_id	ke_name	url	detection_method	method_description	reference	method_type
151	Activation, Inflammatory cytokines, chemokines, cytoprotective gene pathways (KE151)	https://aopwiki.org/events/151	Keratinosens® assay	The Keratinosens® assay measures Nrf2–Keap1 pathway activation using a luciferase reporter under antioxidant response element control. It is standardized as OECD TG 442D for skin sensitization, but may have limited utility for respiratory sensitizers.	Natsch et al., 2013; Emter et al., 2010	in vitro
151	Activation, Inflammatory cytokines, chemokines, cytoprotective gene pathways (KE151)	https://aopwiki.org/events/151	LuSens assay	The LuSens assay, an alternative Nrf2 reporter system, detects activation of the antioxidant response pathway. Like Keratinosens®, it is OECD TG 442D validated for skin sensitization, though its relevance to respiratory sensitizers is unclear.	Ramirez et al., 2014	in vitro
151	Activation, Inflammatory cytokines, chemokines, cytoprotective gene pathways (KE151)	https://aopwiki.org/events/151	qPCR of Nrf2-dependent genes	Quantitative PCR is used to measure expression of Nrf2-regulated genes such as HMOX. Increased transcription reflects activation of cytoprotective pathways.	Migdal et al., 2013	in vitro
151	Activation, Inflammatory cytokines, chemokines, cytoprotective gene pathways (KE151)	https://aopwiki.org/events/151	Microarray analysis (PTEN pathway)	Transcriptomic profiling with microarrays in BEAS-2B cells revealed regulation of the PTEN pathway as potentially useful for identifying respiratory sensitizers.	Verstraelen et al., 2009	in vitro
1198	Activation, Macrophages (KE1198)	https://aopwiki.org/events/1198	NA	NA	NA	NA
559	Activation, Nicotinic acetylcholine receptor (KE559)	https://aopwiki.org/events/559	Radiolabeled ligand binding	Radiolabeled agonists such as [3H]imidacloprid or nAChR subunit-specific antibodies are used to detect receptor location and composition.	LaLone et al., 2017	in vitro
559	Activation, Nicotinic acetylcholine receptor (KE559)	https://aopwiki.org/events/559	Ligand competition assays	Displacement of [3H] agonist binding is measured to determine ligand affinity for nAChRs.	LaLone et al., 2017	in vitro
559	Activation, Nicotinic acetylcholine receptor (KE559)	https://aopwiki.org/events/559	Whole-cell voltage clamp electrophysiology	Agonist-induced nAChR activation is quantified by measuring ionic currents under voltage clamp in isolated cells.	LaLone et al., 2017	in vitro
317	Altered, Cardiovascular development/function (KE317)	https://aopwiki.org/events/317	Blood flow measurement in mesencephalic vein	Red blood cell flow is quantified by time-lapse video microscopy, either as cells/sec or by scoring flow categories.	Teraoka et al., 2002; Teraoka et al., 2008; Teraoka et al., 2014; Henry et al., 1997	in vivo
317	Altered, Cardiovascular development/function (KE317)	https://aopwiki.org/events/317	Cardiac and edema area measurement	Heart area, pericardial edema, or yolk sac edema are quantified from microscope-linked digital images with image analysis software.	Dong et al., 2010; Teraoka et al., 2003; Teraoka et al., 2008; Teraoka et al., 2014; Yamauchi et al., 2006	in vivo
317	Altered, Cardiovascular development/function (KE317)	https://aopwiki.org/events/317	Heart morphometry	Basic morphometric endpoints include heart weight, aspect ratio, and heart-to-body weight ratio.	Fujisawa et al., 2014	in vivo
317	Altered, Cardiovascular development/function (KE317)	https://aopwiki.org/events/317	Malformation incidence scoring	Cardiovascular malformations are quantified as percent incidence among individuals in exposed populations.	Buckler et al., 2015; Dong et al., 2010; Park et al., 2014; Yamauchi et al., 2006	in vivo
317	Altered, Cardiovascular development/function (KE317)	https://aopwiki.org/events/317	Heartbeat rate measurement	Heartbeat rate is measured directly by microscopic observation of embryos or larvae.	Park et al., 2014	in vivo
1443	Atherosclerosis (KE1443)	https://aopwiki.org/events/1443	In vitro endothelial/foam cell assays	In vitro models evaluate atherosclerosis development by measuring adhesion molecule expression, monocyte adhesion to endothelial cells, migration, and foam cell formation.	Chen et al., 2021	in vitro
1443	Atherosclerosis (KE1443)	https://aopwiki.org/events/1443	Animal models of atherosclerosis	Induction and/or progression of atherosclerosis is studied in vivo using animal models, allowing assessment of lesion formation and progression.	NA	in vivo
1529	Blockade, L-Type Calcium Channels (KE1529)	https://aopwiki.org/events/1529	NA	NA	NA	NA
2001	Cardiac hypertrophy (KE2001)	https://aopwiki.org/events/2001	NA	NA	NA	NA
1703	Cardiovascular dysregulation (KE1703)	https://aopwiki.org/events/1703	Cardiovascular measurements in human cohorts	In humans, cardiovascular status is assessed in cohort studies by routine clinical measurements including pulse rate, blood pressure, and ECG recordings. These standard metrics detect dysregulation of heart rate and vascular tone.	Peter; Karki	in vivo
1703	Cardiovascular dysregulation (KE1703)	https://aopwiki.org/events/1703	Pressure transducer blood pressure assay in rodents	In rats, arterial blood pressure and pulse rate are recorded using a pressure transducer (Utah Medical) connected to polyethylene tubing. Pulse rate is calculated from systolic peaks, and mean arterial pressure is derived from analogue signals.	Gaspari, 2007	in vivo
1703	Cardiovascular dysregulation (KE1703)	https://aopwiki.org/events/1703	Embryonic fish heart rate observation	In fish embryos, heart rate is measured by direct microscopic observation of heartbeats over fixed intervals (e.g., 30 seconds). This simple method provides developmental cardiovascular data.	Steele, 2009	in vivo
1703	Cardiovascular dysregulation (KE1703)	https://aopwiki.org/events/1703	Adult fish cardiovascular dynamics assay	Adult fish are immobilized and placed in respirometer-metabolism chambers. Electrodes record ECG and heart rate every 2 hours over 24–48 hours, while blood pressure is monitored via dorsal aortic cannula attached to a calibrated pressure transducer.	McKim, 1982; McKim, 1987	in vivo
55	Cell injury/death (KE55)	https://aopwiki.org/events/55	LDH release assay	Measurement of lactate dehydrogenase (LDH) leakage into culture medium as an indicator of membrane damage and necrosis. LDH activity is quantified spectrophotometrically via a two-step reaction that generates a colored formazan product proportional to necrotic cell number.	Chan et al., 2013	in vitro
55	Cell injury/death (KE55)	https://aopwiki.org/events/55	MTT assay	A tetrazolium-based viability assay in which mitochondrial oxidoreductases reduce MTT to purple formazan. Decline in activity indicates cytotoxic or cytostatic effects. Related assays include XTT, MTS, and WST.	Berridge et al., 2005	in vitro
55	Cell injury/death (KE55)	https://aopwiki.org/events/55	Propidium iodide staining	Propidium iodide (PI) is a fluorescent dye that intercalates nucleic acids in cells with compromised membranes. Excited at 535 nm and emitting at 617 nm, PI fluorescence marks necrotic or late apoptotic cells.	Moore et al., 1998	in vitro
55	Cell injury/death (KE55)	https://aopwiki.org/events/55	Alamar Blue assay	A redox-based viability assay where living cells reduce blue non-fluorescent resazurin to pink fluorescent resorufin. Provides a sensitive and non-toxic measure of metabolic activity in cell cultures.	O’Brien et al., 2000	in vitro
55	Cell injury/death (KE55)	https://aopwiki.org/events/55	Neutral red uptake assay	Viable cells incorporate neutral red dye into lysosomes. Decreased dye uptake reflects compromised viability and cytotoxicity.	Repetto et al., 2008	in vitro
55	Cell injury/death (KE55)	https://aopwiki.org/events/55	ATP assay (CellTiter-Glo)	Cellular ATP is quantified as a marker of metabolically active cells using the CellTiter-Glo reagent. Bioluminescent signal correlates with viable cell numbers, and decreased ATP indicates cytotoxicity.	Promega CellTiter-Glo	in vitro
55	Cell injury/death (KE55)	https://aopwiki.org/events/55	TUNEL assay	Detects DNA fragmentation by labeling strand breaks with terminal deoxynucleotidyl transferase and dUTPs. Widely used as an apoptotic marker in tissue and cell culture studies.	NA	in vitro
55	Cell injury/death (KE55)	https://aopwiki.org/events/55	Caspase activity / PARP cleavage	Fluorescent caspase-3/-7 assays quantify proteolytic activity, and PARP cleavage can be detected immunologically. Both serve as indicators of apoptosis progression.	Li et al., 2004	in vitro
55	Cell injury/death (KE55)	https://aopwiki.org/events/55	Hoechst 33342 staining	Hoechst dyes bind DNA and reveal condensed or fragmented nuclei by fluorescence microscopy, providing a simple readout of apoptosis in live or fixed cells.	Loo, 2002; Kubbies & Rabinovitch, 1983	in vitro
55	Cell injury/death (KE55)	https://aopwiki.org/events/55	Acridine Orange/Ethidium Bromide staining	Dual staining with acridine orange and ethidium bromide differentiates viable, apoptotic, and necrotic cells under fluorescence microscopy. Apoptotic bodies appear orange-red, allowing visual quantification.	NA	in vitro
2215	Decrease LV function (KE2215)	https://aopwiki.org/events/2215	NA	NA	NA	NA
1531	Decrease, Calcium binding to Troponin C (KE1531)	https://aopwiki.org/events/1531	NA	NA	NA	NA
1530	Decrease, Calcium currents (KE1530)	https://aopwiki.org/events/1530	NA	NA	NA	NA
1532	Decrease, Cardiac contractility (KE1532)	https://aopwiki.org/events/1532	NA	NA	NA	NA
1533	Decrease, Cardiac ejection fraction (KE1533)	https://aopwiki.org/events/1533	NA	NA	NA	NA
360	Decrease, Population growth rate (KE360)	https://aopwiki.org/events/360	Population sampling and counting	Population growth rate is determined by measuring population size at time 0 and time 1, then calculating r = (N1 – N0)/N0. Sampling strategies differ by species: habitat units are used for stationary species, while mark–recapture methods are used for mobile ones.	Bookhout 1994; McComb et al. 2021	in vivo
360	Decrease, Population growth rate (KE360)	https://aopwiki.org/events/360	Population modeling constructs	Mathematical models ranging from simple differential equations to age-structured or individual-based models are used to estimate population growth and chemical impact.	Caswell 2001; Vandermeer and Goldberg 2003; Gotelli 2008; Murray and Sandercock 2020	in silico
360	Decrease, Population growth rate (KE360)	https://aopwiki.org/events/360	qAOP modeling	A quantitative adverse outcome pathway model links MIEs and KERs to population outcomes, predicting population decline. An example with aromatase inhibitor fadrozole integrated HPG axis, oocyte growth, and population models.	Conolly et al. 2017; Perkins et al. 2019; Miller et al. 2007; Cheng et al. 2016; Watanabe et al. 2016	in silico
360	Decrease, Population growth rate (KE360)	https://aopwiki.org/events/360	DEB modeling	Dynamic energy budget models quantify how stressors affect growth, reproduction, and survival by modeling energy acquisition and use, integrated with AOP key events.	Nisbet et al. 2000; Nisbet et al. 2011; Murphy et al. 2018	in silico
360	Decrease, Population growth rate (KE360)	https://aopwiki.org/events/360	Endogenous lifecycle models (ELMs)	ELMs integrate growth, development, survival, and reproduction to predict organism fitness. AOPs can inform ELMs on chemical stressor effects on vital rates and model structure.	Etterson and Ankley, 2021	in silico
360	Decrease, Population growth rate (KE360)	https://aopwiki.org/events/360	Field-based population modeling	Observed endpoints such as altered steroid synthesis in exposed fish populations are linked to population models to estimate population-level effects of effluents.	Miller et al. 2015	in silico
2020	Decrease, sox9 expression (KE2020)	https://aopwiki.org/events/2020	RT-qPCR for sox9 expression	Sox9 expression is measured using quantitative reverse transcription PCR. The baseline expression level is important to determine the extent of repression that can drive craniofacial effects in zebrafish embryos.	NA	in vitro
1104	Decreased, Prostaglandin F2alpha concentration, plasma (KE1104)	https://aopwiki.org/events/1104	NA	NA	NA	NA
585	Decreased, Sodium conductance 1 (KE585)	https://aopwiki.org/events/585	NA	NA	NA	NA
944	Dimerization, AHR/ARNT (KE944)	https://aopwiki.org/events/944	Chromatin immunoprecipitation (ChIP)	ChIP measures protein–DNA interactions in vivo. Cells are crosslinked with formaldehyde, DNA sheared, and nuclear lysates immunoprecipitated with AhR/ARNT antibodies. Sequenced DNA fragments enriched at XREs indicate heterodimer binding in chromatin.	Perez-Romero and Imperiale, 2007	in vivo
944	Dimerization, AHR/ARNT (KE944)	https://aopwiki.org/events/944	Electrophoretic mobility shift assay (EMSA)	EMSA assesses DNA binding of AhR/ARNT heterodimers in vitro. Protein–DNA complexes migrate more slowly than free DNA in gels and can be confirmed with antibodies. Results correlate with luciferase reporter assays in dioxin-exposed cells.	Perez-Romero and Imperiale, 2007; Heid et al., 2001	in vitro
944	Dimerization, AHR/ARNT (KE944)	https://aopwiki.org/events/944	Luciferase reporter gene assay	Luciferase reporters under dioxin-responsive elements in COS-7 cells expressing AhR/ARNT isoforms quantify activation across species, reflecting heterodimerization and transcriptional activity.	Abnet et al., 1999; Bak et al., 2013; Doering et al., 2014; Doering et al., 2015; Hansson & Hahn, 2008; Hirose et al., 1996; Karchner et al., 1999; Lee et al., 2007; Lee et al., 2011; Prasch et al., 2004; Wirgin et al., 2011	in vitro
1536	Disruption, Intracellular calcium mobilization (KE1536)	https://aopwiki.org/events/1536	NA	NA	NA	NA
1537	Disruption, Sarcomere assembly (KE1537)	https://aopwiki.org/events/1537	NA	NA	NA	NA
110	Endothelial cell dysfunction (KE1913, KE110)	https://aopwiki.org/events/110	Endothelial network formation assays	Human cell-based angiogenesis assays quantify endothelial migration, proliferation, tubule counts, tubule length, area, intensity, and node counts using HUVECs or iPSC-derived endothelial cells. These in vitro assays allow measurement of angiogenic responses to chemicals.	Muller et al., 2002; Masckauchan et al., 2005; Sarkanen et al., 2010; Knudsen et al., 2016; Nguyen et al., 2017; Toimela et al., 2017; Saili et al., 2019; Zurlinden et al., 2020	in vitro
110	Endothelial cell dysfunction (KE1913, KE110)	https://aopwiki.org/events/110	Synthetic hydrogel angiogenesis assay	Synthetic hydrogels promote robust in vitro network formation by HUVECs or iPSC-ECs in response to angiogenic factors, offering improved sensitivity and reproducibility for detection of vascular disrupting compounds.	Nguyen et al., 2017	in vitro
110	Endothelial cell dysfunction (KE1913, KE110)	https://aopwiki.org/events/110	Chick CAM and corneal neovascularization assays	In vivo angiogenesis can be studied with the chick chorioallantoic membrane (CAM) assay or corneal neovascularization, which preserve biological complexity but are costly and lower throughput.	Tran et al., 2007	in vivo
110	Endothelial cell dysfunction (KE1913, KE110)	https://aopwiki.org/events/110	Transgenic zebrafish reporter assays	Endothelial-specific transgenic zebrafish embryos allow automated high-throughput visualization of vessel formation, combining biological complexity of in vivo systems with screening capability.	NA	in vivo
110	Endothelial cell dysfunction (KE1913, KE110)	https://aopwiki.org/events/110	ToxCast endothelial co-culture HTS assays	High-throughput screening assays for phenotypic profiling of endothelial co-cultures use biomarker readouts to detect chemical effects on vascular signaling pathways.	Knudsen and Kleinstreuer, 2011; Kleinstreuer et al., 2013; Kleinstreuer et al., 2014; Tal et al., 2017; Saili et al., 2019	in vitro
110	Endothelial cell dysfunction (KE1913, KE110)	https://aopwiki.org/events/110	VCAM1 expression assays	Assays measuring chemical disruption of endothelial VCAM1 expression after cytokine stimulation (BioMAP Systems panels) act as in vitro surrogates for inflammatory cell recruitment and endothelial dysfunction.	Kunkel et al., 2004; Houck et al., 2009; Knudsen and Kleinstreuer, 2011; Kleinstreuer et al., 2014	in vitro
110	Endothelial cell dysfunction (KE1913, KE110)	https://aopwiki.org/events/110	Cytokine and chemokine activity assays	TNFα, IL1α, IL6, CXCL8, CXCL9, and CXCL10 signaling are profiled through in vitro assays (e.g., NFκB reporter activation, LPS-induced TNFα, caspase 8 activity), capturing pro- and anti-angiogenic influences.	Knudsen et al., 2011; Kleinstreuer et al., 2013; Tal et al., 2017; Saili et al., 2019; Zurlinden et al., 2020	in vitro
110	Endothelial cell dysfunction (KE1913, KE110)	https://aopwiki.org/events/110	VEGF/FGF receptor activity assays	Assays monitor binding and signaling of VEGFR1/2/3 and FGFR, using kinase activity profiles and BioMAP systems, to evaluate chemical disruption of key pro-angiogenic pathways.	Sipes et al., 2013	in vitro
110	Endothelial cell dysfunction (KE1913, KE110)	https://aopwiki.org/events/110	Transcription factor reporter assays	Reporter assays detect activation of transcription factors such as AhR, HIF1α, and ERα, which regulate VEGF expression. These in vitro systems indicate upstream control of angiogenesis.	Attagene platform; NovaScreen platform	in vitro
110	Endothelial cell dysfunction (KE1913, KE110)	https://aopwiki.org/events/110	Ephrin–EPH receptor assays	Biochemical activity assays for ephrin ligands (EFNA1, EFNB2) and their EPH receptors (EPHA1/2, EPHB1/2) assess angiogenic sprouting mechanisms during vascular development.	Kleinstreuer et al., 2014	in vitro
110	Endothelial cell dysfunction (KE1913, KE110)	https://aopwiki.org/events/110	uPA/uPAR system assays	Assays in BioMAP systems measure urokinase plasminogen activator (uPA) and its receptor (uPAR) activity, linked to extracellular matrix degradation and angiogenic sprouting. Effects are reported across multiple human cell platforms.	Kleinstreuer et al., 2014	in vitro
110	Endothelial cell dysfunction (KE1913, KE110)	https://aopwiki.org/events/110	Thrombomodulin and TBXA2 receptor assays	Assays for THBD and thromboxane A2 receptor evaluate regulation of endothelial migration and angiogenic sprouting, downstream of VEGF and FGF signaling.	Kleinstreuer et al., 2014	in vitro
110	Endothelial cell dysfunction (KE1913, KE110)	https://aopwiki.org/events/110	β-catenin nuclear localization assay	Assays track nuclear translocation of β-catenin in endothelial cells as a marker of migration, proliferation, and survival during capillary network formation.	Masckauchan et al., 2005	in vitro
110	Endothelial cell dysfunction (KE1913, KE110)	https://aopwiki.org/events/110	TGFβ/Tie2 receptor assays	Assays monitor TGFβ signaling and Tie2 receptor activation by angiopoietins (ANG1/2), both regulators of vascular stabilization and maturation.	NA	in vitro
110	Endothelial cell dysfunction (KE1913, KE110)	https://aopwiki.org/events/110	Phosphatase activity assays	Assays for PTEN, PTPN11, PTPN12, and PTPRB track anti-angiogenic phosphatase activities that regulate vascular morphogenesis.	NA	in vitro
110	Endothelial cell dysfunction (KE1913, KE110)	https://aopwiki.org/events/110	Matrix metalloproteinase (MMP) assays	Biochemical and cell-based assays for MMP1, MMP2, and MMP9 evaluate ECM degradation during angiogenesis by activated endothelial cells.	NA	in vitro
1913	Endothelial cell dysfunction (KE1913, KE110)	https://aopwiki.org/events/1913	NA	NA	NA	NA
1535	Heart failure (KE1535, KE1964)	https://aopwiki.org/events/1535	Electrocardiogram (ECG)	Heart failure is assessed by ECG, recording electrical activity across animal taxa to determine heart rhythm and identify when heart rate falls to zero.	Hauser et al., 2012	in vivo
1964	Heart failure (KE1535, KE1964)	https://aopwiki.org/events/1964	NA	NA	NA	NA
2099	hERG channel blockade (KE2099)	https://aopwiki.org/events/2099	NA	NA	NA	NA
590	Hypoxia (KE590)	https://aopwiki.org/events/590	NA	NA	NA	NA
2084	Increase, Cardiac remodelling (KE2084)	https://aopwiki.org/events/2084	NA	NA	NA	NA
1269	Increase, COX-2 expression (KE1269)	https://aopwiki.org/events/1269	qRT-PCR for COX-2 transcript	Transcript abundance of COX-2 is measured by quantitative real-time PCR in whole embryos of fish and embryonic tissues of birds.	Dong et al., 2010; Huang et al., 2007; Teraoka et al., 2008; Teraoka et al., 2014; Fujisawa et al., 2014	in vitro
1269	Increase, COX-2 expression (KE1269)	https://aopwiki.org/events/1269	ELISA for COX-2 protein	COX-2 protein levels can be measured by ELISA, though kits are not commercially available for fish or birds.	NA	in vitro
1269	Increase, COX-2 expression (KE1269)	https://aopwiki.org/events/1269	Western blot for COX-2 protein	COX-2 protein abundance can be determined by Western blot. Kits for fish and birds are not yet available.	NA	in vitro
2021	Increase, slincR expression (KE2021)	https://aopwiki.org/events/2021	RT-qPCR for slincR expression	slincR gene expression is quantified by RT-qPCR in embryonic zebrafish at 48 and 96 hpf, providing a measure of temporal changes in expression after chemical exposure.	Garcia et al., 2017	in vitro
2021	Increase, slincR expression (KE2021)	https://aopwiki.org/events/2021	In situ hybridization for slincR expression	Tissue localization of slincR expression is assessed by in situ hybridization in zebrafish embryos, providing spatial resolution of expression domains.	Garcia et al., 2017	in vitro
1500	Increased cellular proliferation and differentiation (KE1500)	https://aopwiki.org/events/1500	Immunohistochemistry	Fibroblast proliferation and myofibroblast differentiation are detected with antibodies against vimentin, procollagen I, and α-SMA. This method provides cellular-level evidence of fibroblast activation.	Zhang, 1994	in vitro
1500	Increased cellular proliferation and differentiation (KE1500)	https://aopwiki.org/events/1500	Cell culture with collagen gel	Functional effects of fibroblast proliferation and differentiation are measured by embedding fibroblasts in collagen gel and analyzing gel contraction, reflecting myofibroblast activity.	Tanaka et al., 2010	in vitro
39	Increased Cholinergic Signaling (KE39)	https://aopwiki.org/events/39	Pupil constriction observation	In human patients with cholinergic poisoning, constricted or pinpoint pupils are frequently reported. Clinical cohort studies of organophosphate exposure document miosis as a reproducible physiological biomarker of increased cholinergic signaling.	Wadia, 1974; Peter, 2014	in vivo
39	Increased Cholinergic Signaling (KE39)	https://aopwiki.org/events/39	Spontaneous embryonic movement observation	In developing fish and frog embryos, spontaneous trunk or tail flexing and rhythmic free-swimming activity are used as markers of increased cholinergic signaling. Embryos are observed under a dissection microscope, and the number of movements per minute is recorded at specific developmental stages.	Watson, 2014	in vivo
39	Increased Cholinergic Signaling (KE39)	https://aopwiki.org/events/39	Embryonic swimming activity assay	Swimming activity of fish and frog larvae is quantified at 5 days post-fertilization by placing dishes over an 8-wedged pie chart grid and counting the number of times larvae cross grid lines during a 1-minute interval. Increased activity indicates cholinergic overstimulation.	Watson, 2014	in vivo
351	Increased Mortality (KE351, KE947, KE1929)	https://aopwiki.org/events/351	Mortality observation	Mortality is recorded by cessation of heartbeat, breathing, or locomotion. Observations may be visual or assisted by microscopes. Mortality rate is calculated as deaths per unit time, area, or cause.	NA	in vivo
351	Increased Mortality (KE351, KE947, KE1929)	https://aopwiki.org/events/351	Experimental exposure mortality assays	Mortality is measured during laboratory exposures in mesocosms or ponds simulating realistic environments for aquatic species.	NA	in vivo
351	Increased Mortality (KE351, KE947, KE1929)	https://aopwiki.org/events/351	Field mortality estimation	Mortality in natural populations is estimated via age-structure analysis or capture-mark-recapture methods in ecological field studies.	NA	in vivo
947	Increased Mortality (KE351, KE947, KE1929)	https://aopwiki.org/events/947	Candling of eggs	In birds, embryo mortality is detected as failure to hatch or lack of movement when candled, using light to visualize inside the egg.	NA	in vivo
947	Increased Mortality (KE351, KE947, KE1929)	https://aopwiki.org/events/947	Heartbeat monitoring in eggs	Avian and reptile embryo viability is assessed using external heartbeat monitors such as Avitronic’s Buddy device.	NA	in vivo
947	Increased Mortality (KE351, KE947, KE1929)	https://aopwiki.org/events/947	Ultrasound biomicroscopy	Ultra-high frequency ultrasound (30–70 MHz) detects stillbirths, resorptions, or mummified offspring in pregnant mammals by imaging embryos in utero.	Flores et al., 2014	in vivo
947	Increased Mortality (KE351, KE947, KE1929)	https://aopwiki.org/events/947	Observation of heartbeat and movement	In fish embryos, mortality is determined by absence of heartbeat, gill movement, or body movement during observation.	NA	in vivo
1929	Increased Mortality (KE351, KE947, KE1929)	https://aopwiki.org/events/1929	NA	NA	NA	NA
591	Increased, amputations (KE591)	https://aopwiki.org/events/591	NA	NA	NA	NA
